"Timestamp,close,high,low,open,volume"	Open	High	Low	Close	Volume
"1433432642,43.1700,43.2050,43.1600,43.2000,27900"	118.9	119.3	118.21	119.25	27086220
"1433432700,43.1500,43.1600,43.1400,43.1600,16400"	118.74	119.93	118.6	119.75	27588593
"1433432805,43.1600,43.1600,43.1425,43.1600,7800"	118.77	119.38	118.3	119.11	24462051
"1433432878,43.1700,43.1800,43.1600,43.1600,11700"	117.95	119.43	117.94	118.99	33561948
"1433432935,43.1500,43.1672,43.1400,43.1600,9300"	116.78	118.16	116.47	117.91	31751900
"1433432999,43.1451,43.1700,43.1350,43.1400,9400"	115.92	116.86	115.81	116.61	22193587
"1433433054,43.1700,43.1700,43.1400,43.1400,6700"	115.85	116.51	115.75	116.02	21118116
"1433433065,43.1700,43.1700,43.1600,43.1700,12600"	115.8	116.33	114.76	116.15	28781865
"1433433179,43.1200,43.1600,43.1150,43.1600,12700"	116.65	117.2	115.43	115.82	30586265
"1433433181,43.1300,43.1300,43.1100,43.1200,5000"	116.45	117.11	116.4	116.73	15039519
"1433433294,43.1390,43.1390,43.1200,43.1255,10100"	117.52	118.02	116.2	116.76	20905892
"1433433357,43.1000,43.1428,43.0900,43.1357,23700"	116.52	117.8	116.49	117.26	18296855
"1433433418,43.0900,43.1100,43.0850,43.1000,5500"	115.59	116.52	115.59	116.52	14249484
"1433433477,43.1100,43.1100,43.0800,43.1000,35400"	116.35	116.51	115.64	116.29	26085854
"1433433539,43.0800,43.1100,43.0750,43.1100,7400"	116.8	117.4	116.78	117.06	23783165
"1433433540,43.0600,43.0900,43.0600,43.0800,18400"	116.74	117.5	116.68	116.95	21424965
"1433433658,43.0600,43.0650,43.0400,43.0600,52300"	115.8	117.38	115.75	116.64	27779423
"1433433660,43.0453,43.0600,43.0400,43.0600,26300"	116.47	116.5	115.64	115.97	44351134
"1433433775,43.0400,43.0600,43.0250,43.0500,41000"	115.38	116.73	115.23	115.82	46524544
"1433433838,43.0300,43.0500,43.0300,43.0300,6300"	115.04	116.2	114.98	115.19	34031834
"1433433899,43.0350,43.0400,43.0100,43.0300,25300"	113.84	115.92	113.75	115.19	43733811
"1433433900,43.0300,43.0400,43.0250,43.0400,48800"	113.29	115	112.49	113.3	26374377
"1433434018,43.0600,43.0800,43.0300,43.0300,52100"	112.31	114.7	112.31	113.95	34402627
"1433434021,43.0600,43.0700,43.0500,43.0700,9000"	110.86	112.43	110.6	112.12	27068316
"1433434135,43.0800,43.0800,43.0500,43.0500,21800"	109.26	111.19	109.16	111.03	29998719
"1433434199,43.0800,43.0844,43.0697,43.0844,5800"	109.5	110.36	109.19	109.95	26195462
"1433434200,43.0600,43.1000,43.0600,43.0700,24400"	110	110.03	108.25	109.11	34324540
"1433434318,43.0540,43.0700,43.0500,43.0500,15000"	109.17	110.09	108.85	109.9	26527997
"1433434330,43.0600,43.0700,43.0597,43.0600,5400"	110.36	110.94	109.03	109.49	37086862
"1433434381,43.0600,43.0700,43.0500,43.0700,13800"	111.6	112.2	110.27	110.52	36162258
"1433434499,43.0499,43.0700,43.0496,43.0600,7500"	110.78	112.03	110.07	111.46	28528750
"1433434511,43.0400,43.0500,43.0400,43.0400,4500"	111.43	112.46	111.39	111.57	27193983
"1433434619,43.0600,43.0700,43.0200,43.0400,8700"	111.47	111.87	110.95	111.79	11475922
"1433434620,43.0350,43.0600,43.0350,43.0600,6700"	111.36	111.51	110.33	111.23	27426394
"1433434739,43.0242,43.0400,43.0242,43.0400,4900"	111.95	112.42	111.4	111.8	25965534
"1433434750,43.0200,43.0400,43.0200,43.0215,17800"	110.12	111.99	110.01	111.73	29264571
"1433434800,43.0100,43.0400,43.0100,43.0100,10200"	109.72	110.54	109.66	110.06	28428917
"1433434913,43.0400,43.0450,43.0200,43.0200,12100"	109.81	110.35	108.83	109.95	26964598
"1433434920,43.0400,43.0550,43.0327,43.0400,17800"	106.7	110.23	106.6	109.99	58840522
"1433435032,43.0300,43.0400,43.0300,43.0400,9200"	106.57	107.68	106.16	107.11	32264510
"1433435048,43.0300,43.0400,43.0200,43.0400,5400"	107.71	107.81	104.08	105.71	51175504
"1433435101,43.0200,43.0400,43.0126,43.0300,18400"	107.12	108.87	106.55	108.43	34143898
"1433435219,43.0200,43.0300,43.0100,43.0200,24600"	111.09	111.09	105.83	107.79	57134541
"1433435271,43.0119,43.0400,43.0100,43.0300,18400"	109.88	111.32	108.05	110.88	59176361
"1433435334,42.9900,43.0100,42.9900,43.0100,31200"	110.31	111.72	109.7	111.06	24254179
"1433435345,43.0100,43.0200,42.9900,42.9900,9300"	110.08	110.51	109.46	110.41	32560000
"1433435443,43.0100,43.0100,42.9900,43.0000,4600"	108.53	110.25	108.11	108.84	30836997
"1433435460,43.0100,43.0200,43.0100,43.0200,3300"	110.98	111.46	109.55	109.83	26932602
"1433435576,43.0100,43.0300,43.0000,43.0000,3100"	111.4	112.35	111.23	111.59	28331709
"1433435639,42.9900,43.0300,42.9900,43.0035,18100"	113.46	113.77	110.53	111.49	43825812
"1433435651,43.0285,43.0300,43.0000,43.0000,10400"	113.65	114.23	113.2	113.54	26419398
"1433435753,43.0200,43.0400,43.0197,43.0200,6900"	113.87	115.21	113.45	113.72	37861662
"1433435760,43.0200,43.0380,43.0200,43.0200,7000"	115.39	115.86	114.1	114.48	34562045
"1433435876,43.0400,43.0400,43.0299,43.0300,9800"	114.31	115.7	113.31	115.59	66134219
"1433435890,43.0400,43.0500,43.0300,43.0500,5500"	117.95	118.36	117.31	118.25	48128970
"1433435940,43.0599,43.0599,43.0400,43.0400,7700"	117.1	117.74	117	117.65	23538673
"1433436005,43.0372,43.0470,43.0372,43.0405,7200"	116.81	116.91	116.28	116.6	23192665
"1433436061,43.0400,43.0450,43.0350,43.0400,3300"	116.86	117.38	116.33	117.06	24125801
"1433436179,43.0300,43.0400,43.0297,43.0300,12300"	117.25	117.76	113.8	117.12	20034594
"1433436180,43.0300,43.0400,43.0200,43.0300,14200"	118.18	118.21	117.45	117.47	24553478
"1433436293,43.0300,43.0300,43.0299,43.0300,4600"	117.33	117.84	116.78	117.55	23624896
"1433436332,43.0400,43.0450,43.0300,43.0300,9900"	117.88	118.17	117.13	117.63	35652191
"1433436419,43.0350,43.0400,43.0300,43.0400,1800"	116.79	117.44	115.72	116.98	35192406
"1433436453,43.0300,43.0328,43.0300,43.0300,1300"	117.35	117.98	116.75	117.34	37586787
"1433436536,43.0300,43.0362,43.0300,43.0300,1700"	117.7	118.69	116.2	116.3	64041043
"1433436599,43.0200,43.0300,43.0200,43.0300,20400"	115.02	116.75	114.72	116.05	36235956
"1433436654,43.0000,43.0210,43.0000,43.0210,8400"	114.31	114.56	113.51	114.06	24358443
"1433436660,43.0100,43.0100,43.0000,43.0000,7600"	113.7	114.34	113.13	113.89	28779313
"1433436769,43.0100,43.0200,42.9999,43.0000,7400"	113.4	113.66	112.69	113.05	21453089
"1433436830,43.0000,43.0100,43.0000,43.0100,1900"	113.06	114.31	112.63	113	29736835
"1433436876,42.9945,43.0000,42.9900,42.9940,8100"	112.71	113.05	112.28	112.52	21701760
"1433436958,42.9600,43.0000,42.9600,42.9955,46900"	112.46	113.37	111.8	113.05	36379106
"1433436962,42.9550,42.9700,42.9550,42.9600,5800"	113.16	113.8	111.8	112.18	35886990
"1433437078,42.9900,43.0000,42.9300,42.9500,50000"	113.69	114.64	113.43	113.95	29641085
"1433437139,42.9600,42.9850,42.9500,42.9850,12500"	113	113.18	112.34	113.09	24607412
"1433437191,42.9700,42.9800,42.9650,42.9700,13600"	111.64	113.39	111.55	112.88	29869442
"1433437257,42.9800,42.9800,42.9600,42.9700,11100"	114.42	114.79	111.55	112.71	52481151
"1433437262,42.9200,42.9800,42.9100,42.9800,25300"	114.35	114.94	114	114.62	31073984
"1433437320,42.9232,42.9500,42.9200,42.9200,14100"	113.85	113.99	112.44	113.55	36003185
"1433437434,42.9400,42.9600,42.9200,42.9200,6800"	113.05	114.12	112.51	113.57	34514269
"1433437498,42.9300,42.9500,42.9200,42.9499,14400"	115.19	116.18	113.25	113.58	47023046
"1433437558,42.9800,42.9800,42.9400,42.9400,19300"	115.12	116.13	114.04	114.92	79886911
"1433437619,42.9700,43.0000,42.9700,42.9700,28500"	113.86	115.73	113.49	115.57	90613177
"1433437678,42.9800,42.9800,42.9500,42.9700,31500"	108.73	113.03	108.6	111.77	112340318
"1433437686,42.9600,42.9800,42.9600,42.9800,21900"	107.51	108.79	107.24	107.95	62176190
"1433437745,42.9900,42.9900,42.9500,42.9500,8400"	102.65	105.72	102.53	105.44	45292770
"1433437859,42.9800,42.9800,42.9450,42.9800,20200"	104.64	105.72	103.13	103.13	46556984
"1433437862,42.9800,43.0000,42.9700,42.9800,8700"	107.25	107.27	105.24	105.52	53002026
"1433437979,42.9700,42.9800,42.9500,42.9700,8100"	107.83	108.76	107.07	108.36	42364328
"1433438039,42.9550,42.9800,42.9450,42.9800,8200"	107.9	108.3	107.51	107.7	26880391
"1433438043,42.9600,42.9700,42.9500,42.9565,9500"	107.7	108	106.82	107.73	26334858
"1433438149,42.9300,42.9500,42.9250,42.9500,16600"	106.14	106.8	105.62	106.73	26701523
"1433438218,42.9200,42.9400,42.9100,42.9300,17600"	105.66	106.57	105.64	106.1	29662406
"1433438279,42.9250,42.9400,42.9200,42.9200,17100"	105.8	106.5	105.5	106	24863945
"1433438334,42.9150,42.9400,42.9100,42.9400,110500"	106.62	107.44	106.29	106.82	24970300
"1433438399,42.9100,42.9250,42.8800,42.9195,65400"	107.41	107.95	106.31	106.94	27766291
"1433438459,42.9100,42.9301,42.9050,42.9100,33100"	107.39	107.88	106.68	107.57	25086248
"1433438460,42.9147,42.9200,42.8950,42.9100,36600"	108.56	108.75	107.68	108.03	23675081
"1433438578,42.8800,42.9400,42.8800,42.9200,18800"	108.59	109.32	108.53	108.85	21257669
"1433438632,42.8900,42.8920,42.8700,42.8800,14300"	108.86	109.1	107.85	108.51	25820230
"1433438642,42.8900,42.9000,42.8800,42.9000,59400"	108.77	109.69	108.36	109.36	25368072
"1433438759,42.9000,42.9150,42.8750,42.8950,23700"	109.23	109.6	109.02	109.08	21984703
"1433438819,42.9300,42.9400,42.9000,42.9090,17500"	109.1	109.37	108.34	109.22	25355976
"1433438872,42.9300,42.9500,42.9250,42.9350,17300"	109.63	110.23	109.21	109.38	33794448
"1433438938,42.8945,42.9245,42.8850,42.9245,18000"	108.14	109.54	108.08	109.48	25868209
"1433438944,42.8700,42.9000,42.8700,42.9000,5500"	107.78	108.44	107.78	108.18	18660434
"1433439059,42.8800,42.8900,42.8600,42.8700,27000"	108.52	108.93	107.85	107.93	27484506
"1433439096,42.9100,42.9100,42.8750,42.8800,17000"	108.71	108.9	107.76	108	24008505
"1433439179,42.9020,42.9100,42.8900,42.9000,51700"	108.23	108.94	108.01	108.81	26315204
"1433439239,42.9100,42.9100,42.8800,42.9000,47600"	107.52	108.37	107.16	108.37	28037220
"1433439240,42.9050,42.9100,42.8950,42.9100,10800"	106.27	107.65	106.18	107.48	40553402
"1433439353,42.8900,42.9000,42.8750,42.9000,13000"	105.58	106	105.28	105.87	27408650
"1433439414,42.8700,42.9000,42.8600,42.9000,7800"	104.81	105.84	104.77	105.79	30202641
"1433439420,42.8700,42.8710,42.8550,42.8700,7800"	106.05	106.07	104	104.48	33816556
"1433439481,42.8900,42.8900,42.8550,42.8700,10100"	104.41	106.15	104.41	106.05	38167871
"1433439599,42.9100,42.9100,42.8800,42.8900,5700"	104.19	104.55	103.68	104.21	27733688
"1433439600,42.8900,42.9100,42.8650,42.9100,27100"	102.83	104.45	102.82	104.34	39869839
"1433439679,42.8900,42.8900,42.8750,42.8800,5300"	104.26	104.35	102.75	102.95	92344820
